Gene,logFC,p_value,-log10(p_value),Regulation
gene_0,0.23957227,0.4658797,0.3317262,Not Significant
gene_1,-0.49790493,0.1984067,0.70244366,Not Significant
gene_2,-0.5256785,0.03840696,1.41559,Not Significant
gene_3,-0.20381837,0.4648692,0.33266923,Not Significant
gene_4,0.54040885,0.07001057,1.1548364,Not Significant
gene_5,-0.4331874,0.2001452,0.69865483,Not Significant
gene_6,0.39161053,0.16803469,0.77460104,Not Significant
gene_7,0.18043847,0.4406122,0.35594347,Not Significant
gene_8,-0.18570468,0.6698275,0.17403701,Not Significant
gene_9,0.09674751,0.7965052,0.09881138,Not Significant
gene_10,-0.2541502,0.39212364,0.40657696,Not Significant
gene_11,0.058797777,0.8622693,0.06435709,Not Significant
gene_12,0.25785503,0.49163288,0.3083591,Not Significant
gene_13,0.5227368,0.105997324,0.9747051,Not Significant
gene_14,-0.4745704,0.19973029,0.69955605,Not Significant
gene_15,0.17636082,0.64383847,0.19122308,Not Significant
gene_16,0.6492927,0.34519526,0.46193516,Not Significant
gene_17,-0.028522886,0.9187802,0.03678837,Not Significant
gene_18,-0.5582007,0.07620496,1.1180167,Not Significant
gene_19,-0.27147034,0.39480895,0.403613,Not Significant
gene_20,-0.21780291,0.4120855,0.38501266,Not Significant
gene_21,0.24562986,0.32833976,0.48367652,Not Significant
gene_22,0.10196473,0.7041675,0.15232404,Not Significant
gene_23,0.6277667,0.07797713,1.1080327,Not Significant
gene_24,-0.44955716,0.20906074,0.6797275,Not Significant
gene_25,0.46769634,0.10866241,0.96392065,Not Significant
gene_26,-0.10765643,0.71786004,0.14396022,Not Significant
gene_27,-0.16600658,0.53155494,0.27445185,Not Significant
gene_28,0.13978654,0.58555174,0.23243472,Not Significant
gene_29,0.102361776,0.6878701,0.16249357,Not Significant
gene_30,-0.25922278,0.4655358,0.33204693,Not Significant
gene_31,-0.6131796,0.34385693,0.4636222,Not Significant
gene_32,-0.11897608,0.69067436,0.16072667,Not Significant
gene_33,-0.3638123,0.26369023,0.57890594,Not Significant
gene_34,0.31181127,0.45006815,0.3467217,Not Significant
gene_35,0.22065526,0.48369917,0.31542465,Not Significant
gene_36,0.69357276,0.03491509,1.4569868,Not Significant
gene_37,-0.3632746,0.18160206,0.74087924,Not Significant
gene_38,-0.061769906,0.8583933,0.06631368,Not Significant
gene_39,-0.54679286,0.05885014,1.2302525,Not Significant
gene_40,-0.43352917,0.14753905,0.831093,Not Significant
gene_41,-0.9498188,0.014199997,1.8477117,Not Significant
gene_42,0.044804852,0.8908553,0.050192825,Not Significant
gene_43,-0.10208975,0.6613417,0.17957407,Not Significant
gene_44,-0.31440562,0.18941581,0.7225838,Not Significant
gene_45,-0.14653246,0.57630193,0.23934993,Not Significant
gene_46,-0.006521587,0.9770548,0.010081088,Not Significant
gene_47,0.44634485,0.088724956,1.0519542,Not Significant
gene_48,0.045674097,0.87440574,0.058287,Not Significant
gene_49,0.32850745,0.34885854,0.45735064,Not Significant
gene_50,-0.005911615,0.97873837,0.009333387,Not Significant
gene_51,0.117123306,0.6349681,0.19724809,Not Significant
