Subtype,Gene,logFC,p_value,-log10(p_value),Regulation
Osteosarcoma,ALPL,3.0368328,1.6390318e-25,24.785412,Upregulated
Osteosarcoma,IBSP,2.8939304,3.1424126e-24,23.502737,Upregulated
Osteosarcoma,COL1A1,2.6882968,7.670728e-21,20.115164,Upregulated
Osteosarcoma,SP7,2.1150799,2.8398988e-18,17.546698,Upregulated
Osteosarcoma,RUNX2,2.6921773,1.0709017e-17,16.970251,Upregulated
Osteosarcoma,MMP13,2.07239,5.893382e-17,16.229635,Upregulated
Osteosarcoma,BGLAP,2.255104,1.6380797e-14,13.785665,Upregulated
Osteosarcoma,DES,-1.6002169,2.4771604e-12,11.606046,Downregulated
Osteosarcoma,VEGFA,2.16811,8.539361e-12,11.068575,Upregulated
Osteosarcoma,MYH11,-1.37781,1.0749638e-10,9.968606,Downregulated
Osteosarcoma,TAGLN,-1.2673025,3.5514482e-08,7.4495945,Downregulated
Osteosarcoma,MYOD1,-1.1096025,3.0936775e-07,6.509525,Downregulated
Osteosarcoma,MYH3,-1.0938296,3.4094296e-07,6.467318,Downregulated
Osteosarcoma,ACTA2,-1.1763601,6.294336e-07,6.2010503,Downregulated
Osteosarcoma,CDK4,-1.0529289,3.869909e-06,5.412299,Downregulated
Osteosarcoma,MYOG,-1.1053162,9.421561e-06,5.025877,Downregulated
Osteosarcoma,CNN1,-0.9289179,1.2952227e-05,4.8876557,Not Significant
Osteosarcoma,TNNT3,-0.80116796,1.660196e-05,4.7798405,Not Significant
Osteosarcoma,PPARG,-0.912447,2.021292e-05,4.6943707,Not Significant
Osteosarcoma,HMGA2,-0.7722864,2.970944e-05,4.5271053,Not Significant
Osteosarcoma,MYLK,-0.8005395,3.2372955e-05,4.4898176,Not Significant
Osteosarcoma,PAX3,-0.88471556,3.394742e-05,4.4691935,Not Significant
Osteosarcoma,MYF5,-0.7300854,5.321393e-05,4.2739744,Not Significant
Osteosarcoma,PAX7,-0.92220163,6.877414e-05,4.162575,Not Significant
Osteosarcoma,FABP4,-0.7661886,0.00016095774,3.7932882,Not Significant
Osteosarcoma,MDM2,-0.79053116,0.00018013756,3.7443957,Not Significant
Osteosarcoma,ADIPOQ,-0.6533723,0.00026753143,3.5726252,Not Significant
Osteosarcoma,LPL,-0.67982244,0.00036636865,3.4360816,Not Significant
Osteosarcoma,SARC_GENE_058,-0.48937798,0.00038325464,3.4165125,Not Significant
Osteosarcoma,SARC_GENE_172,0.48191595,0.0007978564,3.0980752,Not Significant
Osteosarcoma,SARC_GENE_071,-0.55313444,0.001380965,2.8598173,Not Significant
Osteosarcoma,CALD1,-0.6542759,0.001670789,2.7770784,Not Significant
Osteosarcoma,SARC_GENE_037,-0.43909788,0.0039908746,2.398932,Not Significant
Osteosarcoma,TPM2,-0.5404906,0.0041397256,2.3830285,Not Significant
Osteosarcoma,SARC_GENE_015,0.4259367,0.01361588,1.8659543,Not Significant
Osteosarcoma,SARC_GENE_091,0.42592287,0.01455334,1.8370373,Not Significant
Osteosarcoma,SARC_GENE_008,-0.42045403,0.015308443,1.815069,Not Significant
Osteosarcoma,SARC_GENE_060,0.33719015,0.02163622,1.6648186,Not Significant
Osteosarcoma,SARC_GENE_157,0.39911747,0.023079494,1.6367737,Not Significant
Osteosarcoma,SARC_GENE_129,-0.36167908,0.0258954,1.5867773,Not Significant
Osteosarcoma,SARC_GENE_142,-0.32661724,0.027200313,1.5654261,Not Significant
