Comparison,Gene,logFC,p_value,-log10(p_value),Regulation
Osteosarcoma vs Leiomyosarcoma,MYH11,-3.2556882,1.3365742e-27,26.874006,Higher in Leiomyosarcoma
Osteosarcoma vs Leiomyosarcoma,TAGLN,-3.2728558,3.9438154e-24,23.404083,Higher in Leiomyosarcoma
Osteosarcoma vs Leiomyosarcoma,ACTA2,-3.296011,1.2692246e-23,22.896461,Higher in Leiomyosarcoma
Osteosarcoma vs Leiomyosarcoma,ALPL,3.0859518,1.9833252e-23,22.702606,Higher in Osteosarcoma
Osteosarcoma vs Leiomyosarcoma,CNN1,-2.866015,6.1568076e-23,22.210644,Higher in Leiomyosarcoma
Osteosarcoma vs Leiomyosarcoma,IBSP,2.7298317,6.542579e-21,20.184252,Higher in Osteosarcoma
Osteosarcoma vs Leiomyosarcoma,COL1A1,2.7253323,7.485676e-21,20.125769,Higher in Osteosarcoma
Osteosarcoma vs Leiomyosarcoma,MYLK,-2.33251,3.062494e-18,17.513926,Higher in Leiomyosarcoma
Osteosarcoma vs Leiomyosarcoma,SP7,2.219326,3.7556227e-17,16.425318,Higher in Osteosarcoma
Osteosarcoma vs Leiomyosarcoma,MMP13,2.0863776,7.2528745e-17,16.13949,Higher in Osteosarcoma
Osteosarcoma vs Leiomyosarcoma,TPM2,-2.0868683,9.742996e-17,16.011307,Higher in Leiomyosarcoma
Osteosarcoma vs Leiomyosarcoma,DES,-2.2377043,2.6112927e-16,15.583144,Higher in Leiomyosarcoma
Osteosarcoma vs Leiomyosarcoma,CALD1,-2.0830712,6.650088e-16,15.177173,Higher in Leiomyosarcoma
Osteosarcoma vs Leiomyosarcoma,RUNX2,2.733468,8.186356e-16,15.086909,Higher in Osteosarcoma
Osteosarcoma vs Leiomyosarcoma,BGLAP,2.1747675,1.317722e-13,12.880177,Higher in Osteosarcoma
Osteosarcoma vs Leiomyosarcoma,VEGFA,2.116665,4.6158122e-11,10.335752,Higher in Osteosarcoma
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_058,-0.43690014,0.0070946314,2.1490703,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_060,0.489995,0.008438954,2.0737114,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_045,-0.43328047,0.011792772,1.9283841,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_071,-0.53184366,0.012786669,1.8932426,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_172,0.40453672,0.014297364,1.844744,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_128,0.4825306,0.01611886,1.7926657,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_084,0.40603304,0.024537096,1.6101768,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_111,0.35648203,0.033176243,1.4791728,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_129,-0.41436195,0.035107594,1.4545989,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_015,0.4371543,0.035121903,1.454422,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_037,-0.42492962,0.038445536,1.4151541,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_171,0.3765874,0.040711194,1.3902862,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_069,0.37197638,0.042535566,1.3712478,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_010,0.4317913,0.05193303,1.2845563,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_178,0.35611105,0.053345352,1.2729034,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_008,-0.3956561,0.053389654,1.272543,Not Significant
Osteosarcoma vs Leiomyosarcoma,BCL2,0.36990452,0.058463965,1.2331117,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_157,0.39373064,0.05867025,1.231582,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_023,0.34563017,0.06454348,1.1901476,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_049,0.28446865,0.06883442,1.1621944,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_159,0.3422203,0.073174484,1.1356404,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_106,0.34107113,0.07327571,1.13504,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_149,0.3322053,0.0793892,1.1002386,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_024,0.36138153,0.08018972,1.0958813,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_142,-0.3092723,0.08286356,1.0816364,Not Significant
Osteosarcoma vs Leiomyosarcoma,FABP4,0.29971075,0.1005593,0.9975777,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_016,0.31694555,0.10067029,0.9970987,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_001,-0.36006165,0.10097455,0.9957881,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_120,-0.31962538,0.10488402,0.97929066,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_116,-0.3111515,0.11759822,0.9295992,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_154,0.32382822,0.12113361,0.91673535,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_088,-0.29894876,0.12121167,0.91645557,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_091,0.35412073,0.12385667,0.9070806,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_064,-0.3052888,0.13597243,0.86654913,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_131,-0.31122446,0.13621968,0.86576015,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_065,0.27987862,0.15434593,0.81150484,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_028,0.28070354,0.15949835,0.79724383,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_018,0.27615976,0.1643576,0.7842102,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_011,-0.2615366,0.16507207,0.7823264,Not Significant
Osteosarcoma vs Leiomyosarcoma,MYH3,-0.26642847,0.16585888,0.7802613,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_097,0.24620104,0.16590583,0.7801384,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_041,0.23427963,0.16605783,0.7797407,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_179,0.2313838,0.17445911,0.7583063,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_054,0.26748753,0.17452022,0.7581542,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_180,0.26392746,0.18050914,0.7435008,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_090,-0.26788473,0.18112455,0.7420227,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_137,0.22685003,0.18604115,0.730391,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_057,-0.23553419,0.18945843,0.7224861,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_029,0.2481618,0.21512538,0.66730833,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_135,0.21984339,0.2246672,0.6484603,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_105,0.23591518,0.23209664,0.63433117,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_086,-0.25596237,0.23773314,0.62391025,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_109,-0.22718191,0.2378131,0.6237642,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_108,0.23135805,0.23852728,0.6224619,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_147,-0.22624063,0.24207148,0.6160564,Not Significant
Osteosarcoma vs Leiomyosarcoma,MMP2,0.2360053,0.24774563,0.605994,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_124,0.24566221,0.25704408,0.5899924,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_077,-0.23974943,0.26156306,0.5824236,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_027,-0.19717503,0.27241018,0.56477666,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_056,-0.18572569,0.29039878,0.5370052,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_025,0.17512369,0.29840183,0.5251985,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_170,-0.20983839,0.29995605,0.52294236,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_022,0.22843122,0.30316544,0.5183203,Not Significant
Osteosarcoma vs Leiomyosarcoma,MDM2,0.1868186,0.3087535,0.51038814,Not Significant
Osteosarcoma vs Leiomyosarcoma,PTEN,0.17775345,0.31775725,0.49790454,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_051,-0.16635418,0.31983557,0.49507326,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_038,-0.19931936,0.32491538,0.48822975,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_112,-0.1936264,0.32506755,0.48802638,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_096,-0.19444847,0.33476225,0.47526354,Not Significant
Osteosarcoma vs Leiomyosarcoma,CEBPA,0.20365715,0.3360147,0.47364175,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_095,0.21257448,0.33665007,0.4728213,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_156,-0.19675446,0.3376697,0.4715079,Not Significant
